CustomerID,CustomerName,Gender,Region,CustomerType,CustomerEmail
1,sara johnston,Female,South,Whole sale,sara johnston@Gmail.com
2,natalie abbott,Male,North,Retail,natalie abbott@Gmail.com
3,angela watson,Fe-male,East,Retail,angela watson@Gmail.com
4,edward shelton,Male,South,Retail,edward shelton@Gmail.com
5,scott cole,Male,North,Wholesale,scott cole@Gmail.com
6,eric matthews,Male,North,Retail,eric matthews@Gmail.com
7,johnny santos,Male,South,Wholesale,johnny santos@Gmail.com
8,darin gutierrez,Male,West,Retail,darin gutierrez@Gmail.com
9,mary norton,Male,South,Retail,mary norton@Gmail.com
10,kaitlyn newman,Male,East,Wholesale,kaitlyn newman@Gmail.com
11,andrea williams,Male,North,Retaill,andrea williams@Gmail.com
12,nicholas lee,Male,East,Wholesale,nicholas lee@Gmail.com
13,whitney mcdowell,Male,West,Retail,whitney mcdowell@Gmail.com
14,david savage,Male,North,Wholesale,david savage@Gmail.com
15,lisa rodriguez,Male,South,Retail,lisa rodriguez@Gmail.com
16,pamela phelps,Male,North,Retail,pamela phelps@Gmail.com
17,william jones,Male,North,Retail,william jones@Gmail.com
18,steven perkins,Male,North,Retail,steven perkins@Gmail.com
19,carl bryant,Male,East,Retail,carl bryant@Gmail.com
20,brian williams,Male,South,Whole sale,brian williams@Gmail.com
21,adam lee,Male,South,Whole-sale,adam lee@Gmail.com
22,tiffany burke,Female,North,Wholesale,tiffany burke@Gmail.com
23,charles conway,Male,South,Wholesale,charles conway@Gmail.com
24,adrian johnson,Male,East,Retaill,adrian johnson@Gmail.com
25,jonathan perez,Male,East,Retail,jonathan perez@Gmail.com
26,erica harris,Male,North,Retail,erica harris@Gmail.com
27,crystal hall,Male,West,Wholesale,crystal hall@Gmail.com
28,joseph olsen,Male,West,Retail,joseph olsen@Gmail.com
29,lori kline,Male,East,Retail,lori kline@Gmail.com
30,kyle moran,Male,West,Retail,kyle moran@Gmail.com
31,theresa barrett,Female,South,Wholesale,theresa barrett@Gmail.com
32,erin frank,Male,North,Retail,erin frank@Gmail.com
33,tammy davis,Male,East,Wholesale,tammy davis@Gmail.com
34,david weaver,Male,North,Wholesale,david weaver@Gmail.com
35,carlos mitchell,Male,East,Wholesale,carlos mitchell@Gmail.com
36,sara wilkinson,Female,West,Wholesale,sara wilkinson@Gmail.com
37,joanne harris,Female,East,Whole sale,joanne harris@Gmail.com
38,travis wright,Male,North,Wholesale,travis wright@Gmail.com
39,holly walker,Male,North,Wholesale,holly walker@Gmail.com
40,david ray,Male,West,Retail,david ray@Gmail.com
41,jessica thompson,Female,North,Wholesale,jessica thompson@Gmail.com
42,diane hayes,Male,South,Retail,diane hayes@Gmail.com
43,john martinez dds,Male,North,Retail,john martinez dds@Gmail.com
44,adam walsh,Male,South,Retail,adam walsh@Gmail.com
45,carolyn meyer,Male,East,Retail,carolyn meyer@Gmail.com
46,jennifer tucker,Female,South,Retail,jennifer tucker@Gmail.com
47,wayne hill,Male,West,Retail,wayne hill@Gmail.com
48,john parks,Male,East,Wholesale,john parks@Gmail.com
49,gary munoz,Male,West,Retail,gary munoz@Gmail.com
50,stephen jones,Male,West,Wholesale,stephen jones@Gmail.com
51,jerry garcia,Male,North,Retail,jerry garcia@Gmail.com
52,kenneth morales,Male,East,Wholesale,kenneth morales@Gmail.com
53,katrina mcgee,Male,West,Wholesale,katrina mcgee@Gmail.com
54,amanda levy,Fe-male,East,Wholesale,amanda levy@Gmail.com
55,john douglas,Male,North,Wholesale,john douglas@Gmail.com
56,john jimenez,Male,West,Retail,john jimenez@Gmail.com
57,susan carey,Female,West,Wholesale,susan carey@Gmail.com
58,mr. derrick bender,Male,East,Wholesale,mr. derrick bender@Gmail.com
59,holly dixon,Male,North,Wholesale,holly dixon@Gmail.com
60,kristen hendrix,Male,East,Retail,kristen hendrix@Gmail.com
61,summer benson,Male,West,Wholesale,summer benson@Gmail.com
62,lisa maldonado,Male,East,Retail,lisa maldonado@Gmail.com
63,nicholas hart,Male,West,Whole sale,nicholas hart@Gmail.com
64,stephen burns,Male,East,Wholesale,stephen burns@Gmail.com
65,alan church,Male,West,Whole-sale,alan church@Gmail.com
66,christine schroeder,Fe-male,North,Retail,christine schroeder@Gmail.com
67,jessica fox,Female,East,Retail,jessica fox@Gmail.com
68,isabel stewart,Fe-male,West,Whole sale,isabel stewart@Gmail.com
69,laura williams,Male,South,Retail,laura williams@Gmail.com
70,mark maynard,Male,North,Retail,mark maynard@Gmail.com
71,allison tucker,Male,East,Retaill,allison tucker@Gmail.com
72,suzanne carter,Female,East,Wholesale,suzanne carter@Gmail.com
73,yvette watson,Male,North,Wholesale,yvette watson@Gmail.com
74,jennifer garza,Fe-male,North,Retail,jennifer garza@Gmail.com
75,jesus ward,Female,South,Wholesale,jesus ward@Gmail.com
76,william reynolds,Male,North,Wholesale,william reynolds@Gmail.com
77,angela herrera,Fe-male,West,Retail,angela herrera@Gmail.com
78,nicole gutierrez,Male,East,Retail,nicole gutierrez@Gmail.com
79,thomas williams,Male,West,Wholesale,thomas williams@Gmail.com
80,bryan walsh,Male,South,Whole-sale,bryan walsh@Gmail.com
81,michael davis,Male,East,Retail,michael davis@Gmail.com
82,larry smith,Male,South,Wholesale,larry smith@Gmail.com
83,amanda house,Fe-male,South,Wholesale,amanda house@Gmail.com
84,lauren harvey,Male,West,Wholesale,lauren harvey@Gmail.com
85,christopher villanueva,Male,South,Retail,christopher villanueva@Gmail.com
86,claudia warner,Male,North,Wholesale,claudia warner@Gmail.com
87,erica serrano,Male,South,Retail,erica serrano@Gmail.com
88,christopher green,Male,South,Retail,christopher green@Gmail.com
89,anna santos,Fe-male,South,Wholesale,anna santos@Gmail.com
90,jacqueline boyer,Male,North,Wholesale,jacqueline boyer@Gmail.com
91,wendy graves,Male,South,Wholesale,wendy graves@Gmail.com
92,amanda jones,Fe-male,South,Retail,amanda jones@Gmail.com
93,eric bell,Male,West,Wholesale,eric bell@Gmail.com
94,ivan acosta,Male,North,Retail,ivan acosta@Gmail.com
95,jacob garcia,Male,West,Wholesale,jacob garcia@Gmail.com
96,paul oneill,Male,West,Wholesale,paul oneill@Gmail.com
97,sherry chen phd,Female,West,Retail,sherry chen phd@Gmail.com
98,jessica brooks,Fe-male,East,Retail,jessica brooks@Gmail.com
99,ashley andrews,Fe-male,North,Wholesale,ashley andrews@Gmail.com
100,rebecca richard,Male,North,Wholesale,rebecca richard@Gmail.com
101,benjamin allen,Male,West,Retaill,benjamin allen@Gmail.com
102,douglas palmer,Male,West,Retail,douglas palmer@Gmail.com
103,kathryn gay,Male,North,Wholesale,kathryn gay@Gmail.com
104,megan rodriguez,Male,North,Retail,megan rodriguez@Gmail.com
105,joseph jackson,Male,South,Wholesale,joseph jackson@Gmail.com
106,marie long,Male,West,Wholesale,marie long@Gmail.com
107,corey barr,Male,South,Wholesale,corey barr@Gmail.com
108,martin schwartz,Male,South,Retail,martin schwartz@Gmail.com
109,sally jenkins,Female,South,Wholesale,sally jenkins@Gmail.com
110,karen nolan,Male,West,Wholesale,karen nolan@Gmail.com
111,tonya taylor,Male,West,Retail,tonya taylor@Gmail.com
112,lisa smith,Male,North,Retail,lisa smith@Gmail.com
113,rick cox,Male,West,Wholesale,rick cox@Gmail.com
114,brandon kelley,Male,North,Whole-sale,brandon kelley@Gmail.com
115,kathleen oneill,Male,East,Retail,kathleen oneill@Gmail.com
116,terry drake,Male,East,Wholesale,terry drake@Gmail.com
117,shawn medina,Male,South,Retail,shawn medina@Gmail.com
118,christine johnson,Fe-male,North,Wholesale,christine johnson@Gmail.com
119,dakota wong,Male,South,Wholesale,dakota wong@Gmail.com
120,chelsea velasquez,Male,South,Retail,chelsea velasquez@Gmail.com
121,ashley hill,Fe-male,North,Wholesale,ashley hill@Gmail.com
122,stephen shah,Male,South,Wholesale,stephen shah@Gmail.com
123,gregory jones,Male,West,Retail,gregory jones@Gmail.com
124,david smith,Male,West,Wholesale,david smith@Gmail.com
125,dale shaw,Male,North,Retail,dale shaw@Gmail.com
126,aaron yu,Male,South,Whole-sale,aaron yu@Gmail.com
127,benjamin gill,Male,West,Retaill,benjamin gill@Gmail.com
128,rachel jackson,Male,North,Retail,rachel jackson@Gmail.com
129,rebecca davidson,Male,West,Retail,rebecca davidson@Gmail.com
130,katherine olson,Male,West,Wholesale,katherine olson@Gmail.com
131,andrea walsh,Male,South,Retaill,andrea walsh@Gmail.com
132,zachary nguyen,Male,South,Retail,zachary nguyen@Gmail.com
133,amy rodriguez,Fe-male,West,Wholesale,amy rodriguez@Gmail.com
134,patrick garza,Male,East,Retail,patrick garza@Gmail.com
135,michael flores,Male,North,Retail,michael flores@Gmail.com
136,sheila ross,Male,West,Wholesale,sheila ross@Gmail.com
137,mario vazquez,Male,East,Wholesale,mario vazquez@Gmail.com
138,shelby myers,Male,North,Wholesale,shelby myers@Gmail.com
139,joshua jones,Male,North,Wholesale,joshua jones@Gmail.com
140,anthony bishop,Male,South,Whole sale,anthony bishop@Gmail.com
141,april wilson,Male,East,Retaill,april wilson@Gmail.com
142,jeffrey herrera,Male,North,Retail,jeffrey herrera@Gmail.com
143,robert gordon,Male,South,Retail,robert gordon@Gmail.com
144,lauren mendoza,Male,North,Wholesale,lauren mendoza@Gmail.com
145,melissa wright,Male,North,Wholesale,melissa wright@Gmail.com
146,jorge parker,Male,South,Retail,jorge parker@Gmail.com
147,alex sims,Male,West,Retaill,alex sims@Gmail.com
148,mr. tim davis,Male,South,Retail,mr. tim davis@Gmail.com
149,jeffery martinez,Male,North,Wholesale,jeffery martinez@Gmail.com
150,justin smith,Male,West,Wholesale,justin smith@Gmail.com
151,tony ramirez,Male,North,Retail,tony ramirez@Gmail.com
152,robert douglas,Male,South,Retail,robert douglas@Gmail.com
153,melissa armstrong,Male,North,Retail,melissa armstrong@Gmail.com
154,maria james,Male,North,Wholesale,maria james@Gmail.com
155,madison robbins,Male,North,Wholesale,madison robbins@Gmail.com
156,manuel lee,Male,South,Retail,manuel lee@Gmail.com
157,erin evans,Male,South,Wholesale,erin evans@Gmail.com
158,rebecca gonzalez,Male,South,Wholesale,rebecca gonzalez@Gmail.com
159,mary barrera,Male,North,Retail,mary barrera@Gmail.com
160,jessica norman,Female,West,Retail,jessica norman@Gmail.com
161,carla johnson,Fe-male,East,Wholesale,carla johnson@Gmail.com
162,sandra brown,Female,East,Retail,sandra brown@Gmail.com
163,ashley perez,Fe-male,North,Wholesale,ashley perez@Gmail.com
164,heather richards,Male,East,Wholesale,heather richards@Gmail.com
165,christian wilkinson,Male,East,Retail,christian wilkinson@Gmail.com
166,allison davis,Male,North,Whole-sale,allison davis@Gmail.com
167,jeffery cohen,Male,South,Retail,jeffery cohen@Gmail.com
168,andre johnson,Male,North,Whole-sale,andre johnson@Gmail.com
169,tom moreno,Male,West,Wholesale,tom moreno@Gmail.com
170,jeffrey barton,Male,South,Retail,jeffrey barton@Gmail.com
171,yvonne powell,Male,West,Retail,yvonne powell@Gmail.com
172,nicholas martin,Male,South,Retail,nicholas martin@Gmail.com
173,cameron shah,Male,North,Retail,cameron shah@Gmail.com
174,andrea dickson,Male,North,Retaill,andrea dickson@Gmail.com
175,teresa meyer,Female,West,Retail,teresa meyer@Gmail.com
176,carol cooper,Male,East,Wholesale,carol cooper@Gmail.com
177,sabrina cole,Female,South,Wholesale,sabrina cole@Gmail.com
178,janet kennedy,Male,South,Wholesale,janet kennedy@Gmail.com
179,rachel green,Male,North,Wholesale,rachel green@Gmail.com
180,brittany williams,Fe-male,North,Wholesale,brittany williams@Gmail.com
181,joanne gardner,Female,South,Retail,joanne gardner@Gmail.com
182,laura walters,Male,West,Wholesale,laura walters@Gmail.com
183,elizabeth griffin,Fe-male,South,Wholesale,elizabeth griffin@Gmail.com
184,stephanie anderson,Female,West,Retail,stephanie anderson@Gmail.com
185,russell martin,Male,West,Wholesale,russell martin@Gmail.com
186,kelly willis,Male,South,Retail,kelly willis@Gmail.com
187,leslie berger,Male,South,Wholesale,leslie berger@Gmail.com
188,david brooks,Male,East,Retail,david brooks@Gmail.com
189,erin bond,Male,North,Retail,erin bond@Gmail.com
190,keith anderson,Male,West,Wholesale,keith anderson@Gmail.com
191,jeremy gilbert,Male,South,Retail,jeremy gilbert@Gmail.com
192,david massey,Male,East,Whole sale,david massey@Gmail.com
193,tony wilson,Male,South,Whole sale,tony wilson@Gmail.com
194,david stein jr.,Male,North,Whole sale,david stein jr.@Gmail.com
195,john lewis,Male,North,Retail,john lewis@Gmail.com
196,nicholas fleming,Male,South,Whole sale,nicholas fleming@Gmail.com
197,holly lawson,Male,West,Whole sale,holly lawson@Gmail.com
198,melissa frederick,Male,East,Retail,melissa frederick@Gmail.com
199,yvonne flores dvm,Male,East,Whole sale,yvonne flores dvm@Gmail.com
200,mr. douglas moore,Male,South,Whole sale,mr. douglas moore@Gmail.com
201,sara huynh,Female,East,Whole sale,sara huynh@Gmail.com
202,nancy roberts,Male,North,Retail,nancy roberts@Gmail.com
203,christine osborne,Female,East,Whole sale,christine osborne@Gmail.com
204,vickie atkinson,Male,North,Retail,vickie atkinson@Gmail.com
205,johnny kelley,Male,North,Retail,johnny kelley@Gmail.com
206,dr. denise frank dds,Male,North,Retail,dr. denise frank dds@Gmail.com
207,craig beck,Male,North,Whole sale,craig beck@Gmail.com
208,harry madden,Male,North,Retail,harry madden@Gmail.com
209,kenneth webb,Male,South,Wholesale,kenneth webb@Gmail.com
210,april thomas,Male,South,Whole-sale,april thomas@Gmail.com
211,mark dean,Male,West,Retail,mark dean@Gmail.com
212,jennifer valdez,Female,East,Wholesale,jennifer valdez@Gmail.com
213,catherine morgan,Female,North,Retail,catherine morgan@Gmail.com
214,patricia henderson,Male,North,Wholesale,patricia henderson@Gmail.com
215,stacey williams,Male,North,Retail,stacey williams@Gmail.com
216,ryan roman,Male,West,Wholesale,ryan roman@Gmail.com
217,paul wiley,Male,East,Wholesale,paul wiley@Gmail.com
218,bryan white,Male,South,Retail,bryan white@Gmail.com
219,michael phillips,Male,East,Wholesale,michael phillips@Gmail.com
220,daniel cole,Male,East,Wholesale,daniel cole@Gmail.com
221,maria keith,Male,North,Retail,maria keith@Gmail.com
